Niveluri de educatie, Forme de proprietate , Macroregiuni  regiuni de dezvoltare si judete, Perioade, UM: Numar persoane, Valoare
In invatamantul prescolar, Total, Neamt, Anul 2023, Numar persoane, 707
In invatamantul prescolar, Total, Suceava, Anul 2023, Numar persoane, 1248
In invatamantul prescolar, Total, Vaslui, Anul 2023, Numar persoane, 681
In invatamantul prescolar, Total, Braila, Anul 2023, Numar persoane, 503
In invatamantul prescolar, Total, Buzau, Anul 2023, Numar persoane, 681
In invatamantul prescolar, Total, Constanta, Anul 2023, Numar persoane, 1321
In invatamantul prescolar, Total, Galati, Anul 2023, Numar persoane, 776
In invatamantul prescolar, Total, Tulcea, Anul 2023, Numar persoane, 311
In invatamantul prescolar, Total, Vrancea, Anul 2023, Numar persoane, 568
In invatamantul prescolar, Total, Arges, Anul 2023, Numar persoane, 1097
In invatamantul prescolar, Total, Calarasi, Anul 2023, Numar persoane, 433
In invatamantul prescolar, Total, Dambovita, Anul 2023, Numar persoane, 753
In invatamantul prescolar, Total, Giurgiu, Anul 2023, Numar persoane, 319
In invatamantul prescolar, Total, Ialomita, Anul 2023, Numar persoane, 414
In invatamantul prescolar, Total, Prahova, Anul 2023, Numar persoane, 1111
In invatamantul prescolar, Total, Teleorman, Anul 2023, Numar persoane, 434
In invatamantul prescolar, Total, Ilfov, Anul 2023, Numar persoane, 1005
In invatamantul prescolar, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 4107
In invatamantul prescolar, Total, Dolj, Anul 2023, Numar persoane, 1073
In invatamantul prescolar, Total, Gorj, Anul 2023, Numar persoane, 518
In invatamantul prescolar, Total, Mehedinti, Anul 2023, Numar persoane, 384
In invatamantul prescolar, Total, Olt, Anul 2023, Numar persoane, 642
In invatamantul prescolar, Total, Valcea, Anul 2023, Numar persoane, 626
In invatamantul prescolar, Total, Arad, Anul 2023, Numar persoane, 787
In invatamantul prescolar, Total, Caras-Severin, Anul 2023, Numar persoane, 483
In invatamantul prescolar, Total, Hunedoara, Anul 2023, Numar persoane, 586
In invatamantul prescolar, Total, Timis, Anul 2023, Numar persoane, 1453
In invatamantul primar, Total, Bihor, Anul 2023, Numar persoane, 1169
In invatamantul primar, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 817
In invatamantul primar, Total, Cluj, Anul 2023, Numar persoane, 1721
In invatamantul primar, Total, Maramures, Anul 2023, Numar persoane, 1111
In invatamantul primar, Total, Satu Mare, Anul 2023, Numar persoane, 824
In invatamantul primar, Total, Salaj, Anul 2023, Numar persoane, 628
In invatamantul primar, Total, Alba, Anul 2023, Numar persoane, 842
In invatamantul primar, Total, Brasov, Anul 2023, Numar persoane, 1430
In invatamantul primar, Total, Covasna, Anul 2023, Numar persoane, 640
In invatamantul primar, Total, Harghita, Anul 2023, Numar persoane, 902
In invatamantul primar, Total, Mures, Anul 2023, Numar persoane, 1456
In invatamantul primar, Total, Sibiu, Anul 2023, Numar persoane, 1165
In invatamantul primar, Total, Bacau, Anul 2023, Numar persoane, 1405
In invatamantul primar, Total, Botosani, Anul 2023, Numar persoane, 1015
In invatamantul primar, Total, Iasi, Anul 2023, Numar persoane, 2042
In invatamantul primar, Total, Neamt, Anul 2023, Numar persoane, 1064
In invatamantul primar, Total, Suceava, Anul 2023, Numar persoane, 1852
In invatamantul primar, Total, Vaslui, Anul 2023, Numar persoane, 968
In invatamantul primar, Total, Braila, Anul 2023, Numar persoane, 623
In invatamantul primar, Total, Buzau, Anul 2023, Numar persoane, 997
In invatamantul primar, Total, Constanta, Anul 2023, Numar persoane, 1563
In invatamantul primar, Total, Galati, Anul 2023, Numar persoane, 1081
In invatamantul primar, Total, Tulcea, Anul 2023, Numar persoane, 449
In invatamantul primar, Total, Vrancea, Anul 2023, Numar persoane, 744
